"","FIPS","State","County","2010_Census_Population","Population_Estimate_2011","Population_Estimate_2012","Population_Estimate_2013","Population_Estimate_2014","Population_Estimate_2015","Population_Estimate_2016","Population_Estimate_2017","Population_Estimate_2018"
"1",1001,"AL","Autauga County",54571,55208,54936,54713,54876,54838,55242,55443,55601
"2",1003,"AL","Baldwin County",182265,186540,190143,194886,199189,202995,207712,212619,218022
"3",1005,"AL","Barbour County",27457,27350,27174,26944,26758,26294,25819,25158,24881
"4",1007,"AL","Bibb County",22915,22747,22664,22516,22541,22562,22576,22555,22400
"5",1009,"AL","Blount County",57322,57554,57570,57611,57521,57522,57517,57827,57840
"6",1011,"AL","Bullock County",10914,10677,10607,10551,10665,10400,10381,10176,10138
"7",1013,"AL","Butler County",20947,20878,20687,20374,20343,20176,20029,19898,19680
"8",1015,"AL","Calhoun County",118572,117797,117257,116541,115995,115536,115018,114664,114277
"9",1017,"AL","Chambers County",34215,34030,34104,34143,33980,34007,33771,33758,33615
"10",1019,"AL","Cherokee County",25989,25994,25963,26025,25902,25739,25776,25815,26032
"11",1021,"AL","Chilton County",43643,43687,43582,43634,43769,43717,43896,44117,44153
"12",1023,"AL","Choctaw County",13859,13607,13561,13396,13317,13233,13049,12935,12841
"13",1025,"AL","Clarke County",25833,25582,25154,25122,24865,24703,24349,24097,23920
"14",1027,"AL","Clay County",13932,13686,13432,13404,13440,13413,13393,13367,13275
"15",1029,"AL","Cleburne County",14972,14928,14889,14976,15025,14917,14853,14906,14987
"16",1031,"AL","Coffee County",49948,50435,51136,50677,50655,50952,51145,51777,51909
"17",1033,"AL","Colbert County",54428,54535,54572,54533,54468,54370,54367,54509,54762
"18",1035,"AL","Conecuh County",13228,13192,13044,12911,12679,12680,12501,12435,12277
"19",1037,"AL","Coosa County",11539,11487,11347,11256,11038,10938,10826,10757,10715
"20",1039,"AL","Covington County",37765,38019,37804,37812,37756,37551,37382,37078,36986
"21",1041,"AL","Crenshaw County",13906,13899,13921,13854,13859,13857,13922,13861,13824
"22",1043,"AL","Cullman County",80406,80401,80273,80688,81067,81764,82456,82836,83442
"23",1045,"AL","Dale County",50251,50112,50284,49772,49417,49349,49301,49254,48956
"24",1047,"AL","Dallas County",43820,43256,42795,41983,41562,40948,40092,39235,38310
"25",1049,"AL","DeKalb County",71109,71352,70937,70911,70999,71112,71101,71404,71385
"26",1051,"AL","Elmore County",79303,80009,80216,80569,80568,80924,81263,81416,81887
"27",1053,"AL","Escambia County",38319,38201,38023,37763,37738,37665,37488,36999,36748
"28",1055,"AL","Etowah County",104430,104358,104273,103883,103407,103003,102849,102937,102501
"29",1057,"AL","Fayette County",17241,17047,16941,16819,16768,16693,16555,16474,16433
"30",1059,"AL","Franklin County",31704,31771,31689,31552,31561,31541,31654,31590,31363
"31",1061,"AL","Geneva County",26790,26759,26927,26682,26597,26636,26498,26410,26314
"32",1063,"AL","Greene County",9045,8905,8850,8749,8585,8509,8483,8318,8233
"33",1065,"AL","Hale County",15760,15358,15360,15247,15047,15018,14835,14809,14726
"34",1067,"AL","Henry County",17302,17377,17156,17132,17082,17106,17083,17140,17209
"35",1069,"AL","Houston County",101547,102470,103365,103638,104156,104268,104239,104373,104722
"36",1071,"AL","Jackson County",53227,53209,53077,52958,52562,52218,52048,51907,51736
"37",1073,"AL","Jefferson County",658466,657973,657967,659196,659918,660370,660326,659546,659300
"38",1075,"AL","Lamar County",14564,14287,14245,14210,14067,13925,13927,13902,13844
"39",1077,"AL","Lauderdale County",92709,92606,92664,92706,93013,92477,92457,92591,92387
"40",1079,"AL","Lawrence County",34339,34049,33807,33577,33448,33138,33233,33077,32957
"41",1081,"AL","Lee County",140247,144130,148581,151831,154545,157009,159297,161641,163941
"42",1083,"AL","Limestone County",82782,85542,87313,88910,90596,91571,92841,94076,96174
"43",1085,"AL","Lowndes County",11299,11139,10853,10665,10498,10353,10253,10104,9974
"44",1087,"AL","Macon County",21452,21281,20611,20026,19648,19306,19064,18811,18439
"45",1089,"AL","Madison County",334811,339527,342713,346633,349807,352989,356821,361665,366519
"46",1091,"AL","Marengo County",21027,20651,20367,20114,19980,19760,19516,19366,19066
"47",1093,"AL","Marion County",30776,30651,30487,30228,30202,30123,29964,29771,29763
"48",1095,"AL","Marshall County",93019,93892,94268,94370,94277,94606,95123,95609,96109
"49",1097,"AL","Mobile County",412992,413242,413922,414210,414590,414935,415499,414515,413757
"50",1099,"AL","Monroe County",23068,22796,22582,22171,21927,21717,21545,21302,21067
"51",1101,"AL","Montgomery County",229363,229168,228861,228173,227546,227244,227072,227079,225763
"52",1103,"AL","Morgan County",119490,120013,120092,119574,119458,119281,118970,118811,119089
"53",1105,"AL","Perry County",10591,10455,10171,10005,9804,9638,9528,9319,9140
"54",1107,"AL","Pickens County",19746,19354,19312,19305,20283,20776,20309,20182,19938
"55",1109,"AL","Pike County",32899,33017,33210,33713,33197,33522,33521,33435,33338
"56",1111,"AL","Randolph County",22913,22743,22534,22548,22355,22598,22508,22683,22725
"57",1113,"AL","Russell County",52947,54831,57482,59133,59211,58837,58208,57028,57781
"58",1115,"AL","St. Clair County",83593,83963,84748,85805,85995,86546,87323,87976,88690
"59",1117,"AL","Shelby County",195085,197992,200964,204108,206356,209084,211430,213729,215707
"60",1119,"AL","Sumter County",13763,13491,13441,13396,13275,13206,12974,12780,12691
"61",1121,"AL","Talladega County",82291,81777,82078,81513,81450,81055,80468,80022,79828
"62",1123,"AL","Tallapoosa County",41616,41397,41044,41028,40887,40611,40570,40613,40497
"63",1125,"AL","Tuscaloosa County",194656,196719,198794,201084,203097,204736,206614,207709,208911
"64",1127,"AL","Walker County",67023,66577,66096,65768,65336,64933,64548,63935,63711
"65",1129,"AL","Washington County",17581,17354,17146,16897,16868,16828,16610,16532,16378
"66",1131,"AL","Wilcox County",11670,11442,11308,11152,10953,10903,10851,10712,10627
"67",1133,"AL","Winston County",24484,24358,24190,24186,24137,23929,23906,23745,23660
"68",2013," AK","Aleutians East Borough",3141,3260,3295,3345,3348,3381,3388,3495,3515
"69",2016," AK","Aleutians West Census Area",5561,5581,5675,5777,5822,5781,5698,5726,5723
"70",2020," AK","Anchorage Municipality",291826,296154,298233,301155,299927,297613,297216,294264,291538
"71",2050," AK","Bethel Census Area",17013,17415,17654,17847,17933,17955,18019,18079,18216
"72",2060," AK","Bristol Bay Borough",997,1030,980,952,949,905,903,870,877
"73",2068," AK","Denali Borough",1826,1872,1908,1942,1915,1927,2039,2066,2059
