County,Percent 2013-17,Percent 2011-15,Percent 2011-13
Albany,5.7,5.1,4.6
Big Horn,14,11,10
Campbell,7,6.3,6.2
Carbon,8.6,9,9.2
Converse,10,11.1,13.2
Crook,8.6,9.4,12.2
Fremont,8.3,9.5,9.7
Goshen,10.2,10.1,9.4
Hot Springs,12.6,11.4,7.6
Johnson,5.1,6.5,6.6
Laramie,11.3,10.5,10.5
Lincoln,8.1,6.8,5.1
Natrona,8.4,8.8,9.5
Niobrara,5.5,4.4,5
Park,7.4,6.6,5.9
Platte,10.7,8.3,7.7
Sheridan,9.1,9.1,8.7
Sublette,8.1,5.8,5.1
Sweetwater,8.3,8.8,9
Teton,3.4,3.8,4.3
Uinta,9.8,9.9,10.6
Washakie,12.4,15.1,18.1
Weston,11.3,10,8.5
