County,Percent 2013-17,Percent 2011-15,Percent 2011-13
Albany,22.7,19.6,19.2
Big Horn,31.7,29.6,24.6
Campbell,32.3,34.8,34.4
Carbon,29.3,27.2,26.2
Converse,27.8,28.3,30.9
Crook,23.8,23.8,27.8
Fremont,30.9,28.7,25.6
Goshen,34.7,31.7,26
Hot Springs,23.8,22.7,21.3
Johnson,23,21,18.3
Laramie,29.4,27.7,26.4
Lincoln,25.3,24.7,23.7
Natrona,33.6,30.6,29.5
Niobrara,22.8,25.5,34
Park,25.1,22,22.3
Platte,26.6,29.2,26
Sheridan,25.7,24.4,24
Sublette,24.8,21.1,18.6
Sweetwater,29,30.6,29.4
Teton,10,8.3,8.5
Uinta,33,28.7,25
Washakie,31.2,29.8,27.7
Weston,37.9,36.2,30.4
