"","subregion","County","InsecurityAdult2018","InsecurityAdult2020","InsecurityChild2018","InsecurityChild2020"
"1","albany","Albany",0.129,0.179,0.14,0.229
"2","big horn","Big Horn",0.134,0.189,0.177,0.274
"3","campbell","Campbell",0.113,0.17,0.159,0.261
"4","carbon","Carbon",0.122,0.185,0.149,0.263
"5","converse","Converse",0.12,0.179,0.153,0.26
"6","crook","Crook",0.095,0.153,0.111,0.216
"7","fremont","Fremont",0.142,0.203,0.199,0.311
"8","goshen","Goshen",0.121,0.177,0.162,0.263
"9","hot springs","Hot Springs",0.135,0.188,0.198,0.292
"10","johnson","Johnson",0.131,0.184,0.172,0.267
"11","laramie","Laramie",0.117,0.175,0.151,0.256
"12","lincoln","Lincoln",0.111,0.163,0.151,0.244
"13","natrona","Natrona",0.127,0.183,0.167,0.268
"14","niobrara","Niobrara",0.143,0.202,0.171,0.277
"15","park","Park",0.115,0.175,0.151,0.26
"16","platte","Platte",0.13,0.191,0.189,0.299
"17","sheridan","Sheridan",0.113,0.164,0.144,0.235
"18","sublette","Sublette",0.108,0.171,0.148,0.262
"19","sweetwater","Sweetwater",0.117,0.174,0.154,0.257
"20","teton","Teton",0.095,0.169,0.084,0.22
"21","uinta","Uinta",0.135,0.187,0.187,0.28
"22","washakie","Washakie",0.126,0.183,0.184,0.287
"23","weston","Weston",0.14,0.194,0.223,0.319
